track,artist,seeds,spotify_id,genre,acousticness,danceability,energy,liveness,loudness,tempo,valence
'Till I Collapse,Eminem,['aggressive'],4xkOaSrkexMciUUogZKVTS,rap,0.0622,0.548,0.847,0.0816,-3.237,171.447,0.1
St. Anger,Metallica,['aggressive'],3fOc9x06lKJBhz435mInlH,metal,0.00131,0.249,0.949,0.0953,-2.642,185.252,0.498
Bamboo Banga,M.I.A.,"['aggressive', 'fun', 'sexy', 'energetic']",6tqFC1DIOphJkCwrjVzPmg,hip-hop,0.0493,0.805,0.918,0.0691,-4.554,125.984,0.713
Die MF Die,Dope,['aggressive'],5bU4KX47KqtDKKaLM4QCzh,metal,0.00169,0.657,0.96,0.109,-3.524,126.02,0.567
Step Up,Drowning Pool,['aggressive'],4Q1w4Ryyi8KNxxaFlOQClK,metal,8.34E-06,0.431,0.962,0.321,-3.269,156.103,0.585
Sweet Amber,Metallica,['aggressive'],5fU6qjmD38P90BMsuqpiuU,metal,0.00114,0.479,0.913,0.226,-5.335,93.213,0.413
When Girls Telephone Boys,Deftones,"['aggressive', 'angry', 'driving', 'energetic']",6xK3sBdRm99g9T8Ov0gjdF,metal,1.36E-05,0.18,0.982,0.331,-4.691,81.75,0.0767
Two Words,Kanye West,"['aggressive', 'energetic']",62wtttQzoIA9HnNmGVd9Yq,hip-hop,0.0158,0.442,0.807,0.217,-4.753,84.649,0.446
Shake Ya Ass,Mystikal,['aggressive'],1jRzdY7oUBOhrylNtiMtBD,hip-hop,0.0626,0.914,0.607,0.0515,-5.658,98.054,0.666
Death Trend Setta,Crossfade,['aggressive'],6Xpm4ajdj9SkiP08JKg3vK,rock,3.27E-05,0.553,0.963,0.0357,-5.286,95.015,0.523
Angel Duster,Run the Jewels,"['aggressive', 'soft']",1V6qst2zfwpooDT1lfvDis,hip-hop,0.00309,0.527,0.825,0.364,-6.771,175.765,0.192
Cancer,Sick Puppies,['aggressive'],0zc4RPw8fXQSVCM5HQnUGU,rock,0.00152,0.378,0.967,0.116,-4.67,100.439,0.552
Cuckoo for Caca,Faith No More,['aggressive'],3DV0DO7GweUc75R38P6mOe,metal,0.00103,0.437,0.973,0.027,-7.42,102.433,0.265
Welcome To The Fold,Filter,['aggressive'],7HFCovMwZIinGBpoZyUsKC,rock,2.37E-05,0.503,0.895,0.319,-6.228,93.953,0.211
Black,Sevendust,['aggressive'],5DoTRJlzMaGAMHPTDrfvfW,metal,1.33E-05,0.565,0.968,0.089,-5.165,108.003,0.693
Meth Vs. Chef,Method Man,['aggressive'],5o9jJ0aRyn7WswL4giBmMB,hip-hop,0.764,0.582,0.543,0.349,-9.081,196.18,0.56
Brinx Job,Pavement,"['aggressive', 'volatile', 'relaxed', 'brash', 'wry', 'carefree', 'freewheeling', 'fun', 'warm', 'detached', 'sparkling', 'irreverent', 'summery', 'bright', 'messy', 'sprawling', 'energetic', 'quirky', 'rambunctious', 'calm', 'laid-back', 'cynical']",2BdKFeg6MvTXBt51AE0QKc,indie,0.0884,0.469,0.821,0.365,-7.369,95.511,0.856
Nothing's Wrong,Architecture in Helsinki,"['aggressive', 'angry', 'cold', 'fun', 'gritty', 'warm', 'flowing', 'smooth', 'soft']",7dMxExgNTBSHqNV0V4WKQW,indie,0.125,0.651,0.702,0.104,-6.632,107.149,0.559
Tabloid Junkie,Michael Jackson,['aggressive'],7n6DnNdKKhjyDa1GlGgLeQ,pop,0.0866,0.814,0.877,0.277,-7.134,111.179,0.579
Hush Hush; Hush Hush,The Pussycat Dolls,"['aggressive', 'powerful']",2H9CKpZiLDF223BbwehpDF,pop,0.0985,0.613,0.778,0.356,-3.933,129.483,0.626
Accelerator,Primal Scream,"['aggressive', 'angry', 'explosive', 'intense']",1VY409A6iWgta1FPxteEUK,rock,0.00013,0.274,0.47,0.289,-2.816,140.281,0.138
Debbie,Architecture in Helsinki,"['aggressive', 'angry', 'cold', 'uplifting', 'silly', 'gritty', 'warm', 'flowing', 'smooth', 'sweet', 'soft']",5aInZf4Xe3NSAFdOBfzs8G,rock,0.133,0.753,0.816,0.187,-6.539,107.956,0.754
Blunt After Blunt,Danny Brown,['aggressive'],68Gzj05pLDpnleA77r6QGK,rap,0.00961,0.633,0.795,0.28,-5.132,146.804,0.333
That's All Lies,Jet,['aggressive'],6JKkhN4ZnwoinLatQOUHG4,rock,7.12E-05,0.213,0.996,0.591,-3.276,152.142,0.0409
In The City,Kevin Rudolf,['aggressive'],4ix4xoMPPOo8H43TG1DQA1,rock,0.0124,0.356,0.944,0.316,-2.706,76.552,0.46
Biggest & The Best,Clawfinger,['aggressive'],51XrhhPlt1smLatJgcBrUb,metal,0.011,0.551,0.915,0.187,-5.178,170.303,0.573
You Could Easily Have Me,Metronomy,"['aggressive', 'spooky']",1UKOgSwVAFcnDEsYYOlyV1,electro,0.0439,0.623,0.973,0.144,-6.028,135.583,0.727
Strip Tease,Danity Kane,"['aggressive', 'ethereal', 'exotic']",7upJI4tZAZ9H7k6Egqw0mG,pop,0.275,0.704,0.886,0.186,-4.338,117.988,0.759
Army Of The Sun,Roadrunner United,['aggressive'],1nrWrZkGdSqz3UaDkv3Z35,metal,0.000472,0.206,0.982,0.313,-3.651,155.361,0.119
Fuck You,Damageplan,['aggressive'],6uBWlHNKcK1P8FDlPPd94u,metal,7.44E-05,0.469,0.994,0.15,-3.702,110.382,0.232
Archives Of Pain,Manic Street Preachers,"['aggressive', 'angry', 'dark', 'eerie', 'bleak']",34cbXKoeiguKS93VAhZoDo,rock,5.22E-05,0.37,0.757,0.149,-6.436,126.445,0.28
Surviving the Times,Nas,"['aggressive', 'intense', 'soothing', 'positive', 'nostalgic', 'sentimental', 'smooth', 'strong', 'poignant', 'sweet', 'thoughtful', 'hypnotic', 'energetic', 'calm']",0BI9BYPVtp65GqNkVCl6tS,hip-hop,0.0387,0.751,0.599,0.426,-8.183,95.702,0.353
Arise Again,Soulfly,['aggressive'],7nzSBaSkbk8KiPLfFGKX1I,metal,6.48E-06,0.296,0.852,0.153,-5.573,108.337,0.276
Straitjacket,Alanis Morissette,"['aggressive', 'angry', 'confrontational', 'fierce', 'gritty']",3go4CiwXiXbbnHIdNB0s0X,pop,0.000938,0.706,0.791,0.528,-3.626,123.982,0.693
Power to the People,Public Enemy,['aggressive'],3Ki7LceZVmcQINetqAbTWD,hip-hop,0.0198,0.749,0.686,0.112,-11.479,126.138,0.454
A Visit To The Gynecologyst,Dr. Octagon,"['aggressive', 'erotic', 'sexual', 'reflective', 'quirky']",2fjZ2VetpKfgQVwhEeuecb,hip-hop,0.0797,0.853,0.769,0.252,-9.399,99.985,0.533
Damage,Ol' Dirty Bastard,['aggressive'],6cfvxVx2PZFSFeghhmciy6,hip-hop,0.0339,0.709,0.549,0.128,-10.805,98.457,0.662
Sweat Loaf,Butthole Surfers,['aggressive'],3VrWfrDjNLLNhqXNJRU0JR,alternative,0.000396,0.217,0.666,0.665,-9.616,108.069,0.107
Home Nucleonics,Strapping Young Lad,['aggressive'],5FiRRTxWwdnvoKhA9xHrIl,metal,3.63E-05,0.31,0.988,0.481,-5.191,109.796,0.0769
Black History Month,Saul Williams,"['aggressive', 'energetic']",2v8AAFM55qPYv0uzE0Uk84,hip-hop,0.251,0.657,0.788,0.732,-5.155,162.506,0.438
Piss Up a Rope,Ween,['aggressive'],0YHhpW8PnU0WNuAKAVuM70,country,0.212,0.761,0.489,0.25,-11.025,137.907,0.968
The Skank Heads,Skunk Anansie,"['aggressive', 'energetic']",5In2tiQfcSBTNCU0JxulKi,rock,0.000153,0.41,0.977,0.297,-3.764,175.26,0.714
Out Of Phase,Sugarcult,['aggressive'],7jrl8OMqXD6nz5URuPa2o7,rock,1.87E-05,0.517,0.961,0.103,-4.088,139.117,0.57
Giga Dance,Deerhoof,['aggressive'],4CZLymvdspb9UeGuzxpsCe,indie,0.0313,0.419,0.718,0.0725,-4.747,151.72,0.445
Bacdafucup,Onyx,['aggressive'],35d3Rac0agSaMERtnLRxyq,rap,0.00396,0.686,0.703,0.21,-9.177,90.002,0.583
A Arte do Insulto,Matanza,['aggressive'],3d4oqD3MLxGgmYcKwDcnES,rock,5.00E-05,0.295,0.96,0.416,-3.357,178.374,0.835
Muerte,Jedi Mind Tricks,"['aggressive', 'angry', 'intense']",6KoRdiUQXtx6NLPNXpRjwM,hip-hop,0.00662,0.766,0.802,0.122,-5.272,91.005,0.627
Spine,Machine Head,"['aggressive', 'angry']",1FHVu3zdemsz0aH93rt1fi,metal,0.000922,0.216,0.973,0.119,-6.265,100.699,0.128
She Bathed Herself In A Bath Of Bleach,Manic Street Preachers,"['aggressive', 'angry', 'powerful']",2SZkDkRzG929gZ3ZiEWyvb,rock,0.000358,0.506,0.96,0.323,-3.025,120.929,0.588
The Saga Begins,Rakim,"['aggressive', 'lyrical']",1DP8rdNuuIAvmizNbQxsTX,hip-hop,0.374,0.76,0.676,0.333,-8.462,90.053,0.771
Because of You,Skunk Anansie,"['aggressive', 'intense', 'energetic']",4hcjd8oIwHEog3rU8NEwlT,rock,1.14E-05,0.516,0.893,0.509,-5.499,140.034,0.201
Oxygen,Aesop Rock,['aggressive'],0KkzHjuQom81UD06IZ1MDH,hip-hop,0.239,0.52,0.512,0.174,-9.861,168.006,0.864
This Is My Head Exploding,Disco Ensemble,"['aggressive', 'explosive', 'energetic']",510qBf1rqwSyF31kXgTaec,rock,0.021,0.464,0.942,0.364,-4.159,184.993,0.492
P.C.P.,Manic Street Preachers,"['aggressive', 'angry', 'explosive', 'nihilistic', 'volatile', 'powerful', 'lively', 'cynical']",0jWINAtES1tAvm0Kf9nnfb,rock,7.32E-05,0.29,0.911,0.275,-3.347,173.151,0.436
The Rich Man,Roadrunner United,['aggressive'],2FkkcpgZO5vl79M6YmeUJ9,metal,0.000713,0.273,0.727,0.705,-7.519,133.098,0.261
All Is Vanity,Manic Street Preachers,"['aggressive', 'passionate']",1QjlvffY8IsgMFMD8OEBt5,rock,2.35E-05,0.548,0.914,0.249,-5.92,143.051,0.444
Cats Van Bags,Atmosphere,"['aggressive', 'angry', 'crunchy', 'gritty']",6To25q7MayaH48LlqHpc5B,hip-hop,0.054,0.434,0.804,0.189,-1.926,82.397,0.327
No Way Out,Roadrunner United,['aggressive'],3GgLCC953aJ5Ch7Sx7l447,metal,0.00147,0.366,0.892,0.0972,-4.814,154.9,0.62
Warren,Slint,['aggressive'],748iX6hTVoWvqMyzC9ZnEe,indie,7.95E-06,0.397,0.746,0.17,-15.867,107.742,0.115
Easy,Voxtrot,['aggressive'],1CXdEVOskhK2MGHBJ9tIXZ,indie,0.00642,0.533,0.88,0.0565,-5.084,127.019,0.704
Here Comes the Gravediggaz,Gravediggaz,['aggressive'],6Uffe3IPB7tkCDhyDJ3Pw1,hip-hop,0.0251,0.926,0.602,0.242,-12.329,102,0.458
Put Your Head Out,House of Pain,['aggressive'],7ygrDIOwwM4gtNf8Pz6kxW,hip-hop,0.0257,0.827,0.676,0.079,-9.735,97.835,0.792
Juggalo Anthem,Blaze Ya Dead Homie,['aggressive'],3dO8wIpOvPLnek2Dt4SJ3V,hip-hop,0.108,0.817,0.658,0.115,-6.212,91.992,0.393
Marlon J.D.,Manic Street Preachers,['aggressive'],6LC8T7kclOSebn8j0Ejics,rock,1.43E-05,0.479,0.865,0.451,-5.057,149.98,0.799
Feed The Gods,White Zombie,"['aggressive', 'angry']",5dVjEdi8hUutQSoEZsBKXr,metal,3.26E-05,0.339,0.958,0.303,-4.162,125.851,0.202
Bite Me,Electric Six,"['aggressive', 'rebellious']",4kpil6C3iVotGLSHuJluYm,rock,0.000585,0.615,0.958,0.843,-5.392,154.009,0.884
Low Down,The Rolling Stones,['aggressive'],5sbfd5DYBkRxcTLIlzmGGa,rock,0.00296,0.476,0.943,0.146,-4.058,116.263,0.607
Far Side,Ünloco,['aggressive'],4jzVpjMHPgd4IDBLEx6YAN,metal,0.00113,0.555,0.857,0.107,-5.744,111.59,0.641
Sun Ra,dEUS,"['aggressive', 'angry', 'confrontational', 'explosive', 'eccentric', 'freewheeling', 'triumphant', 'springlike', 'spacey']",1Z4QpJaR0lg1VC2kTvxU3F,rock,4.77E-05,0.442,0.945,0.325,-5.758,137.815,0.24
Life's on the Line,50 Cent,"['aggressive', 'brash', 'confident']",65l5KYs1YMFplVybSvFZqZ,rap,0.00848,0.672,0.84,0.171,-5.191,94.669,0.768
Villainy Thrives,Trivium,['aggressive'],7LUxLggr0vvXXGS9o8Xq80,metal,2.47E-05,0.534,0.966,0.0703,-1.955,132.97,0.483
The Act We Act,Sugar,"['aggressive', 'optimistic']",5JVsMFqGPNBmNw2ddwxtLH,alternative,8.85E-05,0.444,0.982,0.168,-5.608,124.553,0.111
What About,Janet Jackson,"['aggressive', 'angry']",5vw6gK0JrGzRlegimi2NyB,pop,0.126,0.633,0.922,0.602,-3.675,192.876,0.684
Devils,Motörhead,"['aggressive', 'angry', 'trippy']",2YrrNuVMvyg6VUZbUccJJe,metal,0.000365,0.393,0.954,0.0367,-5.13,136.021,0.18
Goin' Down,Melanie C,"['aggressive', 'fierce', 'powerful']",28PRXrS8AkRX32FGL6S0DU,rock,0.000797,0.524,0.926,0.168,-3.958,100.07,0.581
